Entry,Function [CC],Keywords,Gene Ontology (GO),Gene Names,Organism,Protein names,Binding site,Pathway,Activity regulation
T1G173,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],20214821 HELRODRAFT_72925,Helobdella robusta (Californian leech),G-protein coupled receptors family 1 profile domain-containing protein,,,
K7G2Y8,"FUNCTION: G-protein coupled receptor for 5-hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone and a mitogen. Also has a high affinity for tricyclic psychotropic drugs. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors. HTR6 is coupled to G(s) G alpha proteins and mediates activation of adenylate cyclase activity. Controls pyramidal neurons migration during corticogenesis, through the regulation of CDK5 activity. Is an activator of mTOR signaling. {ECO:0000256|ARBA:ARBA00059774}.",Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; positive regulation of cell communication [GO:0010647]; positive regulation of signaling [GO:0023056]",,Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis),5-hydroxytryptamine receptor 6 (Serotonin receptor 6),,,
A0A673GEB3,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],LOC107740094,Sinocyclocheilus rhinocerous,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8T3DG37,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],AGOR_G00110510,Albula goreensis,G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A6P8FPZ7,,Behavior;Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb2a,Clupea harengus (Atlantic herring),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A3Q3D2P2,,Cell membrane;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],,Hippocampus comes (Tiger tail seahorse),Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor),,,
A0A0A9Y8Q3,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],DopR2 CM83_102935,Lygus hesperus (Western plant bug),Dopamine receptor 2,,,
A0A8X6IU13,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; neuropeptide Y receptor activity [GO:0004983]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Octbeta2R NPIL_109801,Nephila pilipes (Giant wood spider) (Nephila maculata),Octopamine receptor beta-2R,,,
A0A671VMF7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],ADRB2 LOC115594828,Sparus aurata (Gilthead sea bream),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A6P4YZI3,"FUNCTION: Receptor for NPAF (A-18-F-amide) and NPFF (F-8-F-amide) neuropeptides, also known as morphine-modulating peptides. Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands. This receptor mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system. {ECO:0000256|ARBA:ARBA00025478}.",Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; neuropeptide receptor activity [GO:0008188]; peptide binding [GO:0042277]; cellular response to hormone stimulus [GO:0032870],LOC109473962,Branchiostoma belcheri (Amphioxus),Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide-related peptide receptor OT7T022),,,
A0A7M7HMY7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",,Strongylocentrotus purpuratus (Purple sea urchin),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A7J6A4F0,,Cell membrane;Cell projection;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"ciliary membrane [GO:0060170]; synapse [GO:0045202]; alpha2-adrenergic receptor activity [GO:0004938]; dopamine neurotransmitter receptor activity, coupled via Gs [GO:0001588]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; positive regulation of MAPK cascade [GO:0043410]; vasodilation [GO:0042311]",AMELA_G00211420,Ameiurus melas (Black bullhead) (Silurus melas),D(1A) dopamine receptor (Dopamine D1 receptor),,,
A0A671Z2V5,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],ADRB2 adrb2a,Sparus aurata (Gilthead sea bream),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
G3M7W2,"FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|ARBA:ARBA00024728, ECO:0000256|RuleBase:RU368057}.",Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; negative regulation of multicellular organismal process [GO:0051241]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of multicellular organismal process [GO:0051240]; regulation of developmental growth [GO:0048638]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Spalax ehrenbergi (Middle East blind mole rat) (Nannospalax ehrenbergi),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
A0A2R5LMI2,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; neuropeptide Y receptor activity [GO:0004983]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Ornithodoros turicata,Putative tyramine/octopamine receptor-like protein,,,
A0A6G0I7C4,,Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],D5F01_LYC13363,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A6P9ASL1,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Pantherophis guttatus (Corn snake) (Elaphe guttata),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8C1XB34,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Cyprinus carpio (Common carp),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8C0WQX4,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis. {ECO:0000256|ARBA:ARBA00003285}.,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],Adrb3,Castor canadensis (American beaver),Beta-3 adrenergic receptor (Beta-3 adrenoreceptor),,,
A0A6G6CCN7,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],OA2B2,Nephotettix cincticeps (Green rice leafhopper) (Selenocephalus cincticeps),Octopamine receptor beta-2R,,,
A0A8C5CP35,,Cell membrane;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],LOC115547498,Gadus morhua (Atlantic cod),Alpha-1A adrenergic receptor-like,,,
A0A8B6DUV7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],MGAL_10B069739,Mytilus galloprovincialis (Mediterranean mussel),5-hydroxytryptamine receptor 4,,,
